id,name,federalstate
eisenstadt,Eisenstadt,bl
guessing,Guessing,bl
jennersdorf,Jennersdorf,bl
mattersburg,Mattersburg,bl
neusiedl,Neusiedl,bl
oberpullendorf,Oberpullendorf,bl
oberwart,Oberwart,bl
eisenstadt-umgebung,Eisenstadt Umgebung,bl
rust,Rust,bl
amstetten,Amstetten,la
baden,Baden,la
bruck-an-der-leitha,Bruck/Leitha,la
gaenserndorf,Gänserndorf,la
gmuend,Gmünd,la
hollabrunn,Hollabrunn,la
horn,Horn,la
krems-an-der-donau,Krems/Donau,la
lilienfeld,Lilienfeld,la
melk,Melk,la
mistelbach,Mistelbach,la
moedling,Mödling,la
neunkirchen,Neunkirchen,la
scheibbs,Scheibbs,la
st-poelten,St. Pölten,la
stockerau,Stockerau,la
tulln,Tulln,la
waidhofen-an-der-thaya,Waidhofen/Thaya,la
wr-neustadt,Wr. Neustadt,la
zwettl,Zwettl,la
klosterneuburg,Klosterneuburg,la
purkersdorf,Purkersdorf,la
schwechat,Schwechat,la
bruck-muerzzuschlag,Bruck-Mürzzuschlag,st
deutschlandsberg,Deutschlandsberg,st
graz,Graz,st
graz-umgebung,Graz-Umgebung,st
leibnitz,Leibnitz,st
liezen,Liezen,st
murau,Murau,st
voitsberg,Voitsberg,st
weiz,Weiz,st
suedost-steiermark,Südoststeiermark,st
leoben,Leoben,st
murtal,Murtal,st
fuerstenfeld,Fürstenfeld,st
braunau,Braunau,ua
eferding,Eferding,ua
freistadt,Freistadt,ua
gmunden,Gmunden,ua
grieskirchen,Grieskirchen,ua
kirchdorf,Kirchdorf,ua
linz-land,Linz-Land,ua
perg,Perg,ua
ried-im-innkreis,Ried im Innkreis,ua
rohrbach,Rohrbach,ua
schaerding,Schärding,ua
steyr-land,Steyr-Land,ua
steyr-stadt,Steyr-Stadt,ua
urfahr-umgebung,Urfahr-Umgebung,ua
voecklabruck,Vöcklabruck,ua
wels-land,Wels-Land,ua
linz,Linz,ua
wels,Wels,ua
reutte,Reutte,ty
landeck,Landeck,ty
imst,Imst,ty
innsbruck,Innsbruck,ty
innsbruck-land,Innsbruck Land,ty
schwaz,Schwaz,ty
kufstein,Kufstein,ty
kitzbuehel,Kitzbühel,ty
osttirol,Osttirol,ty
lienz,Lienz,ty
